	wt_2
Name=LOC100130264	0
Name=LOC100130268	0
Name=CCDC166	0
Name=TFAP2A-AS1	0
Name=LOC100130285	0
Name=LOC100130298	0
Name=C8orf89	0
Name=SUPT20HL1	0
Name=C17orf107	0
Name=LOC100130316	0
Name=LOC100130331	0
Name=SCGB2B3P	0
Name=LOC100130345	0
Name=TMEM262	0
Name=LOC100130357	0
Name=CXorf49	0
Name=LOC100130370	0
Name=LINC00552	0
Name=LOC100130417	0
Name=CECR7	0
Name=PP14571	9
Name=LOC100130451	0
Name=LOC100130452	0
Name=LOC100130459	1
Name=CAND1.11	0
Name=LOC100130466	0
Name=LOC100130476	0
Name=LINC01387	3
Name=LOC100130497	0
Name=LOC100130502	0
Name=TMEM221	0
Name=LOC100130520	0
Name=PARD6G-AS1	0
Name=LOC100130539	0
Name=LOC100130548	0
Name=NFYC-AS1	1
Name=LINC00910	3
Name=LOC100130587	0
Name=PRR32	0
Name=LOC100130673	0
Name=LOC100130691	0
Name=ARHGAP42P2	0
Name=LOC100130698	0
Name=LOC100130700	0
Name=LOC100130701	0
Name=LOC100130705	0
Name=CECR5-AS1	0
Name=LRRC70	0
Name=LRRC69	0
Name=LOC100130744	1
Name=EFCAB10	0
Name=AGAP2-AS1	0
Name=LOC100130798	0
Name=LOC100130801	0
Name=SBK3	0
Name=LOC100130849	0
Name=USP3-AS1	0
Name=LOC100130872	0
Name=LOC100130876	0
Name=LOC100130880	0
Name=ATE1-AS1	0
Name=PSORS1C3	0
Name=TSTD3	1
Name=VAC14-AS1	0
Name=LOC100130899	0
Name=SMIM6	0
Name=ZNF663P	0
Name=CSAG4	0
Name=LOC100130950	0
Name=LINC01502	0
Name=SYCE1L	0
Name=LOC100130964	0
Name=C6orf99	0
Name=LOC100130987	1
Name=C7orf72	0
Name=LOC100130992	0
Name=ZNF316	2
Name=LOC100131047	0
Name=LINC01135	0
Name=CKMT2-AS1	0
Name=SRP14-AS1	0
Name=DPP9-AS1	0
Name=TNRC6C-AS1	0
Name=LOC100131107	0
Name=LOC100131114	0
Name=ZBTB20-AS1	0
Name=LOC100131132	0
Name=BSPH1	0
Name=LINC01405	0
Name=WDR86-AS1	0
Name=TSTD1	0
Name=CCDC183-AS1	0
Name=RPL21P28	0
Name=SNAP25-AS1	2
Name=TMEM194B	216
Name=ZNF503-AS2	0
Name=MIR181A1HG	183
Name=ANKRD63	0
Name=LOC100131257	0
Name=LOC100131289	0
Name=LOC100131303	1
Name=LOC100131315	0
Name=RAB6C-AS1	0
Name=LOC100131347	0
Name=LINC00605	0
Name=LOC100131372	0
Name=C11orf91	0
Name=SP9	0
Name=LOC100131395	0
Name=LINC00893	0
Name=CD300LD	0
Name=DBIL5P	0
Name=LOC100131472	0
Name=LOC100131496	0
Name=LOC100131532	0
Name=ZNF705E	0
Name=LINC00887	0
Name=FKSG29	0
Name=LOC100131564	0
Name=PRR23D1	0
Name=LOC100131626	0
Name=LOC100131635	4
Name=LOC100131655	0
Name=MZF1-AS1	0
Name=FAM83A-AS1	0
Name=USP30-AS1	0
Name=ARMCX4	0
Name=PET100	0
Name=LINC00271	0
Name=UBE2DNL	0
Name=CADM3-AS1	0
Name=ZNF717	0
Name=FAM196B	1
Name=KRTAP25-1	0
Name=ZNF705G	0
Name=FAM27E3	0
Name=RRN3P3	0
Name=LOC100132004	0
Name=LOC100132057	0
Name=LOC100132062	0
Name=FOXO6	0
Name=LOC100132077	0
Name=LOC100132078	0
Name=LOC100132086	0
Name=HERC2P7	0
Name=FAM66E	0
Name=LOC100132111	0
Name=ACTA2-AS1	0
Name=LOC100132146	0
Name=LOC100132154	0
Name=CALML3-AS1	0
Name=PHKA2-AS1	1
Name=LOC100132167	0
Name=WASIR2	0
Name=LOC100132174	0
Name=LOC100132202	0
Name=LOC100132215	0
Name=NPIPB5	1
Name=LOC100132249	0
Name=NDUFA6-AS1	0
Name=KIR2DS2	0
Name=KIR2DS2	0
Name=LOC100132287	0
Name=TEKT4P2	1
Name=LOC100132304	0
Name=CLUHP3	0
Name=LOC100132352	0
Name=LINC01512	0
Name=LOC100132356	0
Name=KRTAP4-9	0
Name=ZNF705B	0
Name=GAGE12D	0
Name=FAM157B	0
Name=NBPF10	2
Name=FCGR1C	0
Name=CLDN24	0
Name=FAM99B	0
Name=KRTAP4-7	0
Name=LINC01415	0
Name=FGD5P1	0
Name=TAT-AS1	1
Name=GXYLT1P3	0
Name=GOLGA8F	0
Name=PGAM1P5	0
Name=XGY2	0
Name=ZRANB2-AS1	0
Name=BSN-AS2	0
Name=PAXIP1-AS2	0
Name=CYP4F30P	0
Name=DCAF13P3	1
Name=LOC100132735	0
Name=LOC100132741	4
Name=KDM4A-AS1	0
Name=LOC100132781	0
Name=LOC100132813	0
Name=IPO5P1	0
Name=LOC100132831	0
Name=PMS2P9	0
Name=LOC100132874	0
Name=LOC100132891	1
Name=DPH3P1	0
Name=FAM159B	0
Name=FAM66D	0
Name=FAM25BP	0
Name=FAM27C	0
Name=SMIM9	0
Name=FAM223A	0
Name=GOLGA8DP	0
Name=LINC00856	0
Name=CXorf49B	0
Name=FAM95B1	0
Name=LOC100133050	0
Name=CXorf51B	0
Name=LOC100133077	3
Name=LOC100133091	0
Name=FAM25G	0
Name=FAM27B	0
Name=LINC01203	0
Name=LINC01001	0
Name=FAM66A	0
Name=C9orf147	1
Name=LINC00240	3
Name=GOLGA6L3	0
Name=SBF1P1	0
Name=PRR23D2	0
Name=LOC100133267	0
Name=LOC100133286	0
Name=FAM231B	0
Name=RSU1P2	0
Name=HOXA-AS3	0
Name=LOC100133315	0
Name=PRO1804	0
Name=LOC100133331	0
Name=LOC100133461	0
Name=MRPL23-AS1	0
Name=LINC01134	0
Name=LOC100133669	0
Name=LOC100133920	0
Name=CD24	0
Name=UXT-AS1	0
Name=LOC100133985	0
Name=MAP3K14-AS1	0
Name=UBOX5-AS1	0
Name=LOC100134040	3
Name=JHDM1D-AS1	0
Name=LINC01119	0
Name=LOC100134317	0
Name=LOC100134362	0
Name=LOC100134368	0
Name=LOC100134391	0
Name=LOC100134423	0
Name=KCNJ18	0
Name=NDUFB2-AS1	0
Name=LOC100134822	0
Name=LOC100134868	0
Name=UBE2Q2P2	5
Name=TEN1	0
Name=UPK3BL	0
Name=JMJD7	0
Name=PLA2G4B	0
Name=HDAC5	1
Name=C17orf99	0
Name=CTAGE8	0
Name=LOC100144595	0
Name=LINC00029	0
Name=LINC01056	0
Name=EPHA5-AS1	0
Name=CHKB-AS1	0
Name=LINC00930	0
Name=KLLN	0
Name=RNU7-1	1
Name=LOC100147773	0
Name=PDCD6IP	3
Name=KRTAP20-4	0
Name=RNU4ATAC	2
Name=RNU6ATAC	3
Name=SCARNA9L	5
Name=PDCD6	0
Name=RNA5S1	692
Name=TEX36-AS1	0
Name=RNA5S2	691
Name=RNA5S3	743
Name=RNA5S4	706
Name=RNA5S5	673
Name=RNA5S6	686
Name=RNA5S7	685
Name=RNA5S8	684
Name=RNA5S9	625
Name=RNA5S10	722
Name=RNA5S11	711
Name=RNA5S12	693
Name=RNA5S13	691
Name=RNA5S14	650
Name=RNA5S15	724
Name=RNA5S16	663
Name=RNA5S17	704
Name=PATE3	0
Name=PEG3-AS1	0
Name=SNAR-A3	0
Name=SNAR-A5	0
Name=SNAR-A7	0
Name=SNAR-A11	0
Name=SNAR-A9	0
Name=SNAR-A4	0
Name=SNAR-A6	0
Name=SNAR-A8	0
Name=SNAR-A13	0
Name=DBIL5P2	0
Name=BCL2L10	0
Name=SNAR-A10	0
Name=SNAR-B2	0
Name=SNAR-C2	0
Name=SNAR-C4	0
Name=SNAR-E	0
Name=SNAR-H	0
Name=SNAR-I	0
Name=SNAR-C5	0
Name=SNAR-B1	0
Name=SNAR-C1	0
Name=SNAR-C3	0
Name=SNAR-D	0
Name=SNAR-G2	0
Name=SRRM5	1
Name=ERICH4	0
Name=C17orf96	0
Name=BCL2L11	1
Name=MIR1224	0
Name=MIR1225	0
Name=TOMM6	3
Name=ESP33	0
Name=HECTD2-AS1	0
Name=LINC00426	1
Name=LINC00092	0
Name=DNMBP-AS1	4
Name=TRG-GCC2-2	1463
Name=TRH-GTG1-5	520
Name=TRH-GTG1-8	732
Name=TRH-GTG1-6	532
Name=TRV-AAC1-2	433
Name=TRH-GTG1-1	515
Name=TRV-AAC2-1	1144
Name=TRV-TAC1-1	1438
Name=TRK-CTT6-1	300
Name=TRG-TCC4-1	160
Name=TRQ-CTG7-1	3
Name=TRY-GTA5-3	674
Name=TRS-GCT2-1	0
Name=TRL-CAA6-1	0
Name=TRL-AAG1-3	103
Name=TRN-GTT7-1	99
Name=TRT-AGT1-3	12
Name=TRC-GCA11-1	8
Name=TRL-CAG1-2	242
Name=TRG-TCC2-6	365
Name=TRR-TCT5-1	36
Name=TRK-CTT1-2	745
Name=TRV-AAC5-1	114
Name=TRX-CAT1-1	2337
Name=TRE-CTC1-5	786
Name=TRL-CAG1-6	198
Name=TRP-AGG2-1	193
Name=TRP-AGG1-1	167
Name=TRA-CGC3-1	389
Name=TRY-GTA2-1	72
Name=TRE-CTC1-6	859
Name=TRR-TCG6-1	0
Name=TRI-TAT2-2	3
Name=TRE-TTC2-1	12092
Name=TRL-TAG3-1	636
Name=TRA-CGC4-1	23
Name=TRR-TCG5-1	15
Name=TRT-CGT1-1	3
Name=TRN-GTT2-4	97
Name=TRS-CGA1-1	16
Name=TRL-CAA3-1	36
Name=TRG-TCC2-5	374
Name=TRX-CAT1-5	2332
Name=TRS-CGA2-1	17
Name=TRA-AGC6-1	0
Name=TRG-CCC5-1	7
Name=TRA-AGC4-1	104
Name=TRA-AGC5-1	10
Name=TRW-CCA3-3	116
Name=TRC-GCA18-1	9
Name=TRI-GAT1-2	1
Name=TRC-GCA2-1	24
Name=TRK-TTT4-1	240
Name=TRQ-CTG4-1	113
Name=TRN-GTT8-1	0
Name=TRK-CTT4-1	640
Name=TRE-TTC2-2	12045
Name=TRG-TCC2-1	364
Name=TRH-GTG1-7	622
Name=TRA-TGC5-1	3
Name=TRL-TAA4-1	11
Name=TRS-AGA4-1	27
Name=TRI-AAT2-1	29
Name=TRP-AGG2-2	180
Name=TRQ-TTG3-3	1558
Name=TRC-GCA12-1	2
Name=TRS-AGA2-3	29
Name=TRR-CCT1-1	191
Name=TRSUP-TTA1-1	0
Name=TRA-TGC6-1	1
Name=TRN-GTT2-3	100
Name=TRR-CCG1-3	84
Name=TRM-CAT7-1	0
Name=TRT-CGT2-1	20
Name=TRP-TGG3-1	261
Name=TRL-CAG2-2	203
Name=TRC-GCA4-1	30
Name=TRE-CTC1-2	881
Name=TRA-AGC7-1	24
Name=TRA-AGC2-1	30
Name=TRX-CAT1-4	2243
Name=TRI-AAT8-1	80
Name=TRC-GCA3-1	30
Name=TRK-TTT8-1	2
Name=TRR-ACG2-3	618
Name=TRV-CAC7-1	2
Name=TRY-GTA5-5	509
Name=TRR-ACG2-1	382
Name=TRC-GCA2-2	37
Name=TRK-CTT1-1	608
Name=TRR-TCT3-2	46
Name=TRK-CTT2-5	444
Name=TRM-CAT3-2	48
Name=TRW-CCA3-1	97
Name=TRA-TGC2-1	72
Name=TRR-TCT3-1	98
Name=TRL-AAG4-1	24
Name=TRK-CTT3-1	352
Name=TRD-GTC2-5	228
Name=TRQ-CTG1-5	729
Name=TRK-TTT3-1	502
Name=TRW-CCA1-1	130
Name=TRP-CGG1-3	379
Name=TRK-TTT1-1	4
Name=TRN-GTT1-1	105
Name=TRN-GTT3-2	84
Name=TRL-CAG2-1	205
Name=TRI-TAT2-3	1
Name=TRI-GAT1-1	1
Name=TRR-TCT1-1	552
Name=TRD-GTC2-4	240
Name=TRM-CAT2-1	27
Name=TRP-AGG2-5	203
Name=TRF-GAA1-5	26
Name=TRQ-TTG2-1	620
Name=TRL-CAG1-5	208
Name=TRQ-CTG3-2	123
Name=TRG-TCC2-3	410
Name=TRV-CAC8-1	0
Name=TRT-AGT6-1	19
Name=TRC-GCA1-1	9
Name=TRF-GAA5-1	0
Name=TRC-GCA16-1	0
Name=TRA-TGC1-1	10
Name=TRL-TAG2-1	102
Name=TRS-CGA4-1	26
Name=TRI-AAT5-3	47
Name=TRC-GCA5-1	23
Name=TRS-GCT1-1	2
Name=TRD-GTC2-10	279
Name=TRS-GCT5-1	24
Name=TRG-GCC1-4	437
Name=TRV-AAC4-1	348
Name=TRY-GTA3-1	65
Name=TRG-GCC2-3	1440
Name=TRL-TAA2-1	2
Name=TRR-TCT4-1	2
Name=TRR-ACG2-2	367
Name=TRR-CCT3-1	295
Name=TRL-AAG3-1	54
Name=TRF-GAA3-1	8
Name=TRW-CCA4-1	1045
Name=TRP-CGG2-1	172
Name=TRR-CCG1-1	254
Name=TRH-GTG1-4	508
Name=TRN-GTT2-5	93
Name=TRC-GCA19-1	2
Name=TRV-AAC6-1	7
Name=TRC-GCA6-1	15
Name=TRR-CCT2-1	65
Name=TRK-TTT6-1	21
Name=TRS-AGA2-1	20
Name=TRQ-TTG3-2	1549
Name=TRT-AGT1-1	151
Name=TRG-TCC2-4	356
Name=TRQ-CTG1-4	699
Name=TRW-CCA5-1	120
Name=TRV-TAC1-2	1387
Name=TRN-GTT9-2	0
Name=TRN-GTT2-6	97
Name=TRV-CAC9-1	0
Name=TRC-GCA2-4	162
Name=TRK-CTT2-1	460
Name=TRL-CAA4-1	298
Name=TRD-GTC3-1	139
Name=TRM-CAT1-1	665
Name=TRL-AAG2-4	102
Name=TRW-CCA2-1	301
Name=TRS-CGA3-1	3
Name=TRG-TCC3-1	456
Name=TRD-GTC1-1	265
Name=TRG-GCC2-5	1404
Name=TRK-CTT5-1	16
Name=TRP-CGG1-1	387
Name=TRI-AAT3-1	27
Name=TRQ-CTG6-1	160
Name=TRM-CAT3-1	40
Name=TRS-GCT6-1	242
Name=TRY-GTA6-1	58
Name=TRG-GCC5-1	1131
Name=TRP-CGG1-2	378
Name=TRT-AGT1-2	8
Name=TRP-AGG2-7	180
Name=TRP-TGG2-1	300
Name=TRS-GCT4-3	4
Name=TRM-CAT6-1	387
Name=TRV-CAC1-6	528
Name=TRV-CAC5-1	569
Name=TRS-GCT4-1	24
Name=TRG-GCC1-3	487
Name=TRG-CCC2-2	828
Name=TRA-TGC3-1	99
Name=TRK-TTT3-5	494
Name=TRD-GTC2-2	245
Name=TRL-CAA1-2	43
Name=TRK-TTT5-1	278
Name=TRD-GTC2-6	256
Name=TRL-TAA3-1	6
Name=TRR-ACG1-1	365
Name=TRT-CGT4-1	2788
Name=TRS-AGA2-5	31
Name=TRS-AGA2-6	30
Name=TRI-AAT1-1	19
Name=TRC-GCA9-1	5
Name=TRF-GAA1-3	19
Name=TRG-GCC1-2	443
Name=TRY-ATA1-1	0
Name=TRF-GAA1-6	21
Name=TRX-CAT1-2	2358
Name=TRN-GTT11-2	2
Name=TRE-CTC1-4	822
Name=TRG-TCC2-2	390
Name=TRQ-CTG4-2	131
Name=TRT-TGT5-1	23
Name=TRR-TCG1-1	1591
Name=TRI-TAT2-1	9
Name=TRC-GCA15-1	1
Name=TRQ-CTG2-1	828
Name=TRE-CTC1-7	833
Name=TRR-CCT5-1	8
Name=TRY-GTA1-1	55
Name=TRL-AAG1-2	91
Name=TRG-GCC4-1	1
Name=TRI-AAT5-1	34
Name=TRP-AGG2-8	183
Name=TRG-CCC3-1	5
Name=TRS-TGA1-1	72
Name=TRA-TGC3-2	150
Name=TRP-TGG3-4	401
Name=TRK-CTT2-2	423
Name=TRV-TAC2-1	1512
Name=TRG-GCC1-5	420
Name=TRS-GCT3-1	45
Name=TRP-TGG1-1	449
Name=TRQ-CTG1-3	785
Name=TRL-CAG1-7	237
Name=TRC-GCA17-1	10
Name=TRD-GTC2-3	240
Name=TRL-AAG2-2	131
Name=TRD-GTC2-11	262
Name=TRF-GAA4-1	1
Name=TRK-TTT2-1	7
Name=TRA-AGC2-2	20
Name=TRP-AGG2-6	165
Name=TRX-CAT1-7	2304
Name=TRG-CCC1-2	1063
Name=TRA-AGC3-1	64
Name=TRT-CGT5-1	0
Name=TRL-CAA2-1	33
Name=TRM-CAT5-1	36
Name=TRC-GCA10-1	2
Name=TRF-GAA1-4	24
Name=TRH-GTG1-3	506
Name=TRA-CGC1-1	76
Name=TRI-AAT5-5	48
Name=TRL-TAA1-1	181
Name=TRG-GCC2-6	1463
Name=TRX-CAT1-8	2321
Name=TRL-CAG1-3	231
Name=TRQ-CTG1-1	737
Name=TRV-AAC1-1	448
Name=TRT-AGT2-1	13
Name=TRQ-TTG3-1	1632
Name=TRN-GTT3-1	102
Name=TRI-TAT1-1	10
Name=TRV-CAC4-1	470
Name=TRL-AAG2-3	102
Name=TRQ-CTG5-1	603
Name=TRS-GCT4-2	21
Name=TRK-TTT7-1	0
Name=TRE-TTC1-1	768
Name=TRH-GTG1-2	540
Name=TRP-TGG3-2	271
Name=TRI-AAT5-4	33
Name=TRY-GTA8-1	72
Name=TRA-TGC4-1	971
Name=TRT-AGT2-2	10
Name=TRV-TAC3-1	795
Name=TRD-GTC2-7	245
Name=TRT-TGT1-1	8
Name=TRX-CAT1-6	2351
Name=TRA-AGC1-1	3
Name=TRD-GTC2-8	212
Name=TRI-TAT3-1	0
Name=TRS-AGA1-1	59
Name=TRM-CAT4-2	28
Name=TRC-GCA20-1	3
Name=TRN-GTT12-1	0
Name=TRC-GCA13-1	3
Name=TRC-GCA8-1	9
Name=TRT-CGT3-1	8
Name=TRL-AAG1-1	84
Name=TRV-CAC2-1	202
Name=TRL-CAG1-4	247
Name=TRR-CCG1-2	39
Name=TRG-GCC1-1	406
Name=TRV-CAC6-1	126
Name=TRL-CAA5-1	6
Name=TRR-TCG3-1	782
Name=TRI-AAT6-1	8
Name=TRV-CAC1-1	553
Name=TRT-AGT5-1	1
Name=TRC-GCA9-3	10
Name=TRT-TGT2-1	16
Name=TRC-GCA9-4	8
Name=TRG-GCC2-1	1670
Name=TRS-AGA2-2	21
Name=TRD-GTC2-9	265
Name=TRE-CTC1-1	842
Name=TRE-CTC1-3	772
Name=TRI-AAT5-2	36
Name=TRP-TGG3-3	364
Name=TRK-TTT9-1	1
Name=TRM-CAT4-3	32
Name=TRI-AAT4-1	10
Name=TRL-CAG1-1	207
Name=TRA-CGC5-1	1
Name=TRR-ACG1-2	465
Name=TRK-CTT2-3	381
Name=TRA-CGC2-1	76
Name=TRI-AAT7-2	38
Name=TRN-GTT2-2	85
Name=TRY-GTA4-1	1
Name=TRR-CCT4-1	476
Name=TRE-TTC4-2	75
Name=TRV-TAC4-1	7
Name=TRE-CTC2-1	762
Name=TRR-TCG2-1	11
Name=TRD-GTC2-1	219
