	wt_1
Name=LOC100130264	2
Name=LOC100130268	0
Name=CCDC166	0
Name=TFAP2A-AS1	0
Name=LOC100130285	0
Name=LOC100130298	0
Name=C8orf89	0
Name=SUPT20HL1	0
Name=C17orf107	0
Name=LOC100130316	0
Name=LOC100130331	2
Name=SCGB2B3P	0
Name=LOC100130345	0
Name=TMEM262	0
Name=LOC100130357	2
Name=CXorf49	0
Name=LOC100130370	0
Name=LINC00552	0
Name=LOC100130417	0
Name=CECR7	0
Name=PP14571	25
Name=LOC100130451	0
Name=LOC100130452	0
Name=LOC100130459	4
Name=CAND1.11	1
Name=LOC100130466	0
Name=LOC100130476	1
Name=LINC01387	8
Name=LOC100130497	0
Name=LOC100130502	0
Name=TMEM221	0
Name=LOC100130520	0
Name=PARD6G-AS1	0
Name=LOC100130539	0
Name=LOC100130548	0
Name=NFYC-AS1	1
Name=LINC00910	6
Name=LOC100130587	0
Name=PRR32	0
Name=LOC100130673	0
Name=LOC100130691	2
Name=ARHGAP42P2	0
Name=LOC100130698	1
Name=LOC100130700	0
Name=LOC100130701	0
Name=LOC100130705	1
Name=CECR5-AS1	0
Name=LRRC70	0
Name=LRRC69	1
Name=LOC100130744	0
Name=EFCAB10	0
Name=AGAP2-AS1	0
Name=LOC100130798	0
Name=LOC100130801	0
Name=SBK3	0
Name=LOC100130849	0
Name=USP3-AS1	2
Name=LOC100130872	0
Name=LOC100130876	0
Name=LOC100130880	0
Name=ATE1-AS1	0
Name=PSORS1C3	0
Name=TSTD3	14
Name=VAC14-AS1	1
Name=LOC100130899	0
Name=SMIM6	0
Name=ZNF663P	0
Name=CSAG4	0
Name=LOC100130950	0
Name=LINC01502	0
Name=SYCE1L	4
Name=LOC100130964	0
Name=C6orf99	0
Name=LOC100130987	4
Name=C7orf72	0
Name=LOC100130992	0
Name=ZNF316	8
Name=LOC100131047	1
Name=LINC01135	1
Name=CKMT2-AS1	0
Name=SRP14-AS1	0
Name=DPP9-AS1	0
Name=TNRC6C-AS1	0
Name=LOC100131107	0
Name=LOC100131114	0
Name=ZBTB20-AS1	0
Name=LOC100131132	0
Name=BSPH1	0
Name=LINC01405	0
Name=WDR86-AS1	0
Name=TSTD1	0
Name=CCDC183-AS1	2
Name=RPL21P28	0
Name=SNAP25-AS1	1
Name=TMEM194B	778
Name=ZNF503-AS2	2
Name=MIR181A1HG	710
Name=ANKRD63	1
Name=LOC100131257	0
Name=LOC100131289	0
Name=LOC100131303	0
Name=LOC100131315	0
Name=RAB6C-AS1	0
Name=LOC100131347	0
Name=LINC00605	0
Name=LOC100131372	0
Name=C11orf91	0
Name=SP9	1
Name=LOC100131395	0
Name=LINC00893	0
Name=CD300LD	0
Name=DBIL5P	0
Name=LOC100131472	0
Name=LOC100131496	0
Name=LOC100131532	0
Name=ZNF705E	0
Name=LINC00887	0
Name=FKSG29	0
Name=LOC100131564	0
Name=PRR23D1	0
Name=LOC100131626	0
Name=LOC100131635	1
Name=LOC100131655	2
Name=MZF1-AS1	0
Name=FAM83A-AS1	0
Name=USP30-AS1	0
Name=ARMCX4	0
Name=PET100	0
Name=LINC00271	3
Name=UBE2DNL	0
Name=CADM3-AS1	0
Name=ZNF717	1
Name=FAM196B	1
Name=KRTAP25-1	0
Name=ZNF705G	0
Name=FAM27E3	0
Name=RRN3P3	0
Name=LOC100132004	0
Name=LOC100132057	0
Name=LOC100132062	1
Name=FOXO6	1
Name=LOC100132077	0
Name=LOC100132078	0
Name=LOC100132086	0
Name=HERC2P7	0
Name=FAM66E	0
Name=LOC100132111	0
Name=ACTA2-AS1	0
Name=LOC100132146	0
Name=LOC100132154	0
Name=CALML3-AS1	0
Name=PHKA2-AS1	0
Name=LOC100132167	0
Name=WASIR2	0
Name=LOC100132174	0
Name=LOC100132202	0
Name=LOC100132215	0
Name=NPIPB5	0
Name=LOC100132249	0
Name=NDUFA6-AS1	0
Name=KIR2DS2	0
Name=KIR2DS2	0
Name=LOC100132287	0
Name=TEKT4P2	1
Name=LOC100132304	0
Name=CLUHP3	0
Name=LOC100132352	1
Name=LINC01512	0
Name=LOC100132356	0
Name=KRTAP4-9	0
Name=ZNF705B	0
Name=GAGE12D	0
Name=FAM157B	1
Name=NBPF10	1
Name=FCGR1C	0
Name=CLDN24	0
Name=FAM99B	0
Name=KRTAP4-7	0
Name=LINC01415	0
Name=FGD5P1	0
Name=TAT-AS1	0
Name=GXYLT1P3	0
Name=GOLGA8F	0
Name=PGAM1P5	0
Name=XGY2	0
Name=ZRANB2-AS1	1
Name=BSN-AS2	0
Name=PAXIP1-AS2	1
Name=CYP4F30P	0
Name=DCAF13P3	1
Name=LOC100132735	0
Name=LOC100132741	5
Name=KDM4A-AS1	1
Name=LOC100132781	0
Name=LOC100132813	0
Name=IPO5P1	0
Name=LOC100132831	0
Name=PMS2P9	0
Name=LOC100132874	0
Name=LOC100132891	3
Name=DPH3P1	0
Name=FAM159B	0
Name=FAM66D	0
Name=FAM25BP	0
Name=FAM27C	0
Name=SMIM9	0
Name=FAM223A	0
Name=GOLGA8DP	0
Name=LINC00856	0
Name=CXorf49B	0
Name=FAM95B1	0
Name=LOC100133050	0
Name=CXorf51B	0
Name=LOC100133077	0
Name=LOC100133091	0
Name=FAM25G	0
Name=FAM27B	0
Name=LINC01203	1
Name=LINC01001	0
Name=FAM66A	0
Name=C9orf147	0
Name=LINC00240	4
Name=GOLGA6L3	0
Name=SBF1P1	2
Name=PRR23D2	0
Name=LOC100133267	0
Name=LOC100133286	1
Name=FAM231B	0
Name=RSU1P2	0
Name=HOXA-AS3	0
Name=LOC100133315	0
Name=PRO1804	0
Name=LOC100133331	0
Name=LOC100133461	0
Name=MRPL23-AS1	0
Name=LINC01134	0
Name=LOC100133669	0
Name=LOC100133920	0
Name=CD24	2
Name=UXT-AS1	2
Name=LOC100133985	0
Name=MAP3K14-AS1	0
Name=UBOX5-AS1	1
Name=LOC100134040	3
Name=JHDM1D-AS1	0
Name=LINC01119	0
Name=LOC100134317	0
Name=LOC100134362	1
Name=LOC100134368	0
Name=LOC100134391	0
Name=LOC100134423	0
Name=KCNJ18	0
Name=NDUFB2-AS1	1
Name=LOC100134822	0
Name=LOC100134868	0
Name=UBE2Q2P2	6
Name=TEN1	2
Name=UPK3BL	1
Name=JMJD7	0
Name=PLA2G4B	2
Name=HDAC5	3
Name=C17orf99	0
Name=CTAGE8	0
Name=LOC100144595	0
Name=LINC00029	0
Name=LINC01056	0
Name=EPHA5-AS1	0
Name=CHKB-AS1	0
Name=LINC00930	0
Name=KLLN	0
Name=RNU7-1	13
Name=LOC100147773	1
Name=PDCD6IP	10
Name=KRTAP20-4	0
Name=RNU4ATAC	9
Name=RNU6ATAC	3
Name=SCARNA9L	38
Name=PDCD6	0
Name=RNA5S1	1011
Name=TEX36-AS1	0
Name=RNA5S2	1044
Name=RNA5S3	1002
Name=RNA5S4	988
Name=RNA5S5	997
Name=RNA5S6	1051
Name=RNA5S7	999
Name=RNA5S8	1008
Name=RNA5S9	952
Name=RNA5S10	997
Name=RNA5S11	1037
Name=RNA5S12	1022
Name=RNA5S13	1032
Name=RNA5S14	1027
Name=RNA5S15	1019
Name=RNA5S16	1002
Name=RNA5S17	1048
Name=PATE3	0
Name=PEG3-AS1	0
Name=SNAR-A3	1
Name=SNAR-A5	0
Name=SNAR-A7	0
Name=SNAR-A11	0
Name=SNAR-A9	0
Name=SNAR-A4	0
Name=SNAR-A6	0
Name=SNAR-A8	1
Name=SNAR-A13	0
Name=DBIL5P2	0
Name=BCL2L10	0
Name=SNAR-A10	0
Name=SNAR-B2	0
Name=SNAR-C2	0
Name=SNAR-C4	0
Name=SNAR-E	0
Name=SNAR-H	0
Name=SNAR-I	0
Name=SNAR-C5	0
Name=SNAR-B1	0
Name=SNAR-C1	0
Name=SNAR-C3	0
Name=SNAR-D	0
Name=SNAR-G2	0
Name=SRRM5	0
Name=ERICH4	0
Name=C17orf96	1
Name=BCL2L11	5
Name=MIR1224	1
Name=MIR1225	2
Name=TOMM6	8
Name=ESP33	0
Name=HECTD2-AS1	0
Name=LINC00426	0
Name=LINC00092	0
Name=DNMBP-AS1	10
Name=TRG-GCC2-2	8301
Name=TRH-GTG1-5	3793
Name=TRH-GTG1-8	5827
Name=TRH-GTG1-6	3690
Name=TRV-AAC1-2	2069
Name=TRH-GTG1-1	3723
Name=TRV-AAC2-1	7292
Name=TRV-TAC1-1	4807
Name=TRK-CTT6-1	975
Name=TRG-TCC4-1	239
Name=TRQ-CTG7-1	5
Name=TRY-GTA5-3	2336
Name=TRS-GCT2-1	3
Name=TRL-CAA6-1	4
Name=TRL-AAG1-3	199
Name=TRN-GTT7-1	222
Name=TRT-AGT1-3	34
Name=TRC-GCA11-1	22
Name=TRL-CAG1-2	373
Name=TRG-TCC2-6	1193
Name=TRR-TCT5-1	244
Name=TRK-CTT1-2	3552
Name=TRV-AAC5-1	390
Name=TRX-CAT1-1	7438
Name=TRE-CTC1-5	4796
Name=TRL-CAG1-6	390
Name=TRP-AGG2-1	802
Name=TRP-AGG1-1	724
Name=TRA-CGC3-1	663
Name=TRY-GTA2-1	375
Name=TRE-CTC1-6	4725
Name=TRR-TCG6-1	9
Name=TRI-TAT2-2	4
Name=TRE-TTC2-1	47712
Name=TRL-TAG3-1	1334
Name=TRA-CGC4-1	71
Name=TRR-TCG5-1	115
Name=TRT-CGT1-1	15
Name=TRN-GTT2-4	285
Name=TRS-CGA1-1	26
Name=TRL-CAA3-1	178
Name=TRG-TCC2-5	1189
Name=TRX-CAT1-5	7192
Name=TRS-CGA2-1	29
Name=TRA-AGC6-1	1
Name=TRG-CCC5-1	32
Name=TRA-AGC4-1	349
Name=TRA-AGC5-1	70
Name=TRW-CCA3-3	288
Name=TRC-GCA18-1	10
Name=TRI-GAT1-2	0
Name=TRC-GCA2-1	127
Name=TRK-TTT4-1	639
Name=TRQ-CTG4-1	503
Name=TRN-GTT8-1	0
Name=TRK-CTT4-1	3321
Name=TRE-TTC2-2	47626
Name=TRG-TCC2-1	1179
Name=TRH-GTG1-7	3817
Name=TRA-TGC5-1	10
Name=TRL-TAA4-1	25
Name=TRS-AGA4-1	28
Name=TRI-AAT2-1	174
Name=TRP-AGG2-2	847
Name=TRQ-TTG3-3	6468
Name=TRC-GCA12-1	1
Name=TRS-AGA2-3	55
Name=TRR-CCT1-1	760
Name=TRSUP-TTA1-1	0
Name=TRA-TGC6-1	8
Name=TRN-GTT2-3	278
Name=TRR-CCG1-3	727
Name=TRM-CAT7-1	0
Name=TRT-CGT2-1	84
Name=TRP-TGG3-1	973
Name=TRL-CAG2-2	351
Name=TRC-GCA4-1	99
Name=TRE-CTC1-2	4780
Name=TRA-AGC7-1	87
Name=TRA-AGC2-1	96
Name=TRX-CAT1-4	7108
Name=TRI-AAT8-1	357
Name=TRC-GCA3-1	64
Name=TRK-TTT8-1	5
Name=TRR-ACG2-3	3571
Name=TRV-CAC7-1	4
Name=TRY-GTA5-5	2011
Name=TRR-ACG2-1	1778
Name=TRC-GCA2-2	83
Name=TRK-CTT1-1	3261
Name=TRR-TCT3-2	239
Name=TRK-CTT2-5	2479
Name=TRM-CAT3-2	163
Name=TRW-CCA3-1	300
Name=TRA-TGC2-1	224
Name=TRR-TCT3-1	461
Name=TRL-AAG4-1	33
Name=TRK-CTT3-1	1693
Name=TRD-GTC2-5	1068
Name=TRQ-CTG1-5	3582
Name=TRK-TTT3-1	1259
Name=TRW-CCA1-1	549
Name=TRP-CGG1-3	1099
Name=TRK-TTT1-1	112
Name=TRN-GTT1-1	289
Name=TRN-GTT3-2	274
Name=TRL-CAG2-1	391
Name=TRI-TAT2-3	8
Name=TRI-GAT1-1	3
Name=TRR-TCT1-1	2341
Name=TRD-GTC2-4	1005
Name=TRM-CAT2-1	111
Name=TRP-AGG2-5	744
Name=TRF-GAA1-5	143
Name=TRQ-TTG2-1	3237
Name=TRL-CAG1-5	366
Name=TRQ-CTG3-2	519
Name=TRG-TCC2-3	1119
Name=TRV-CAC8-1	0
Name=TRT-AGT6-1	56
Name=TRC-GCA1-1	25
Name=TRF-GAA5-1	5
Name=TRC-GCA16-1	2
Name=TRA-TGC1-1	17
Name=TRL-TAG2-1	213
Name=TRS-CGA4-1	67
Name=TRI-AAT5-3	241
Name=TRC-GCA5-1	166
Name=TRS-GCT1-1	1
Name=TRD-GTC2-10	1079
Name=TRS-GCT5-1	27
Name=TRG-GCC1-4	1920
Name=TRV-AAC4-1	1931
Name=TRY-GTA3-1	215
Name=TRG-GCC2-3	8439
Name=TRL-TAA2-1	5
Name=TRR-TCT4-1	5
Name=TRR-ACG2-2	1684
Name=TRR-CCT3-1	1275
Name=TRL-AAG3-1	154
Name=TRF-GAA3-1	24
Name=TRW-CCA4-1	2640
Name=TRP-CGG2-1	647
Name=TRR-CCG1-1	1474
Name=TRH-GTG1-4	3767
Name=TRN-GTT2-5	269
Name=TRC-GCA19-1	11
Name=TRV-AAC6-1	14
Name=TRC-GCA6-1	45
Name=TRR-CCT2-1	311
Name=TRK-TTT6-1	112
Name=TRS-AGA2-1	58
Name=TRQ-TTG3-2	6343
Name=TRT-AGT1-1	295
Name=TRG-TCC2-4	1202
Name=TRQ-CTG1-4	3672
Name=TRW-CCA5-1	279
Name=TRV-TAC1-2	4744
Name=TRN-GTT9-2	1
Name=TRN-GTT2-6	261
Name=TRV-CAC9-1	1
Name=TRC-GCA2-4	335
Name=TRK-CTT2-1	2535
Name=TRL-CAA4-1	926
Name=TRD-GTC3-1	516
Name=TRM-CAT1-1	2227
Name=TRL-AAG2-4	177
Name=TRW-CCA2-1	1227
Name=TRS-CGA3-1	15
Name=TRG-TCC3-1	2105
Name=TRD-GTC1-1	1013
Name=TRG-GCC2-5	8198
Name=TRK-CTT5-1	34
Name=TRP-CGG1-1	1117
Name=TRI-AAT3-1	141
Name=TRQ-CTG6-1	623
Name=TRM-CAT3-1	154
Name=TRS-GCT6-1	379
Name=TRY-GTA6-1	178
Name=TRG-GCC5-1	7607
Name=TRP-CGG1-2	1092
Name=TRT-AGT1-2	22
Name=TRP-AGG2-7	754
Name=TRP-TGG2-1	972
Name=TRS-GCT4-3	7
Name=TRM-CAT6-1	1141
Name=TRV-CAC1-6	2395
Name=TRV-CAC5-1	2265
Name=TRS-GCT4-1	46
Name=TRG-GCC1-3	2077
Name=TRG-CCC2-2	2068
Name=TRA-TGC3-1	286
Name=TRK-TTT3-5	1145
Name=TRD-GTC2-2	1019
Name=TRL-CAA1-2	241
Name=TRK-TTT5-1	782
Name=TRD-GTC2-6	1059
Name=TRL-TAA3-1	19
Name=TRR-ACG1-1	1824
Name=TRT-CGT4-1	6831
Name=TRS-AGA2-5	57
Name=TRS-AGA2-6	52
Name=TRI-AAT1-1	66
Name=TRC-GCA9-1	19
Name=TRF-GAA1-3	139
Name=TRG-GCC1-2	1953
Name=TRY-ATA1-1	0
Name=TRF-GAA1-6	170
Name=TRX-CAT1-2	7268
Name=TRN-GTT11-2	0
Name=TRE-CTC1-4	4769
Name=TRG-TCC2-2	1111
Name=TRQ-CTG4-2	558
Name=TRT-TGT5-1	120
Name=TRR-TCG1-1	9969
Name=TRI-TAT2-1	28
Name=TRC-GCA15-1	3
Name=TRQ-CTG2-1	3864
Name=TRE-CTC1-7	4807
Name=TRR-CCT5-1	35
Name=TRY-GTA1-1	167
Name=TRL-AAG1-2	175
Name=TRG-GCC4-1	10
Name=TRI-AAT5-1	183
Name=TRP-AGG2-8	784
Name=TRG-CCC3-1	13
Name=TRS-TGA1-1	222
Name=TRA-TGC3-2	349
Name=TRP-TGG3-4	1114
Name=TRK-CTT2-2	2243
Name=TRV-TAC2-1	6403
Name=TRG-GCC1-5	1866
Name=TRS-GCT3-1	87
Name=TRP-TGG1-1	1170
Name=TRQ-CTG1-3	3558
Name=TRL-CAG1-7	384
Name=TRC-GCA17-1	17
Name=TRD-GTC2-3	1030
Name=TRL-AAG2-2	256
Name=TRD-GTC2-11	1063
Name=TRF-GAA4-1	8
Name=TRK-TTT2-1	138
Name=TRA-AGC2-2	89
Name=TRP-AGG2-6	816
Name=TRX-CAT1-7	7026
Name=TRG-CCC1-2	7327
Name=TRA-AGC3-1	144
Name=TRT-CGT5-1	0
Name=TRL-CAA2-1	171
Name=TRM-CAT5-1	114
Name=TRC-GCA10-1	18
Name=TRF-GAA1-4	129
Name=TRH-GTG1-3	3746
Name=TRA-CGC1-1	229
Name=TRI-AAT5-5	215
Name=TRL-TAA1-1	565
Name=TRG-GCC2-6	8224
Name=TRX-CAT1-8	7334
Name=TRL-CAG1-3	385
Name=TRQ-CTG1-1	3666
Name=TRV-AAC1-1	2105
Name=TRT-AGT2-1	23
Name=TRQ-TTG3-1	6255
Name=TRN-GTT3-1	285
Name=TRI-TAT1-1	25
Name=TRV-CAC4-1	2218
Name=TRL-AAG2-3	225
Name=TRQ-CTG5-1	2989
Name=TRS-GCT4-2	33
Name=TRK-TTT7-1	0
Name=TRE-TTC1-1	3364
Name=TRH-GTG1-2	3724
Name=TRP-TGG3-2	1008
Name=TRI-AAT5-4	158
Name=TRY-GTA8-1	219
Name=TRA-TGC4-1	1732
Name=TRT-AGT2-2	33
Name=TRV-TAC3-1	1407
Name=TRD-GTC2-7	1022
Name=TRT-TGT1-1	29
Name=TRX-CAT1-6	7238
Name=TRA-AGC1-1	13
Name=TRD-GTC2-8	1063
Name=TRI-TAT3-1	1
Name=TRS-AGA1-1	89
Name=TRM-CAT4-2	108
Name=TRC-GCA20-1	2
Name=TRN-GTT12-1	1
Name=TRC-GCA13-1	7
Name=TRC-GCA8-1	20
Name=TRT-CGT3-1	31
Name=TRL-AAG1-1	156
Name=TRV-CAC2-1	590
Name=TRL-CAG1-4	390
Name=TRR-CCG1-2	366
Name=TRG-GCC1-1	1911
Name=TRV-CAC6-1	330
Name=TRL-CAA5-1	10
Name=TRR-TCG3-1	7676
Name=TRI-AAT6-1	26
Name=TRV-CAC1-1	2358
Name=TRT-AGT5-1	8
Name=TRC-GCA9-3	18
Name=TRT-TGT2-1	77
Name=TRC-GCA9-4	17
Name=TRG-GCC2-1	8662
Name=TRS-AGA2-2	53
Name=TRD-GTC2-9	1095
Name=TRE-CTC1-1	4885
Name=TRE-CTC1-3	4822
Name=TRI-AAT5-2	190
Name=TRP-TGG3-3	1180
Name=TRK-TTT9-1	0
Name=TRM-CAT4-3	100
Name=TRI-AAT4-1	46
Name=TRL-CAG1-1	430
Name=TRA-CGC5-1	1
Name=TRR-ACG1-2	2083
Name=TRK-CTT2-3	2355
Name=TRA-CGC2-1	222
Name=TRI-AAT7-2	132
Name=TRN-GTT2-2	283
Name=TRY-GTA4-1	6
